PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,PD020,PD030,PD050,PD060,PD070,PD080,AP,SL,M_K
1059070001,10590700,206.44665,70,1,,,1059070002.0,,,,,,,2.0,1.0,2.0,,1964.0,300.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,73.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,19.0,37.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4253.28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,1,6,1
1059070002,10590700,206.44665,69,2,,,1059070001.0,,,,,,,2.0,1.0,2.0,,1965.0,300.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,73.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,33.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4319.74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,1,6,1
1059100001,10591000,44.34199,55,1,,1059100002.0,,,,,,,,1.0,3.0,2.0,,1984.0,600.0,4.0,1.0,1.0,2.0,,2.0,,1.0,2.0,,8.0,3.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,22.0,27.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909.22,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1,6,1
1059100002,10591000,44.34199,83,2,,,,,,,,,,4.0,3.0,2.0,,1958.0,600.0,3.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,23.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,26.0,33.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.98,252.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1,6,1
1059100003,10591000,44.34199,51,2,,1059100002.0,,,,,,,,1.0,3.0,2.0,,1986.0,600.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,26.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.0,,24.0,28.0,12.0,1.0,2.0,8050.04,6297.35,0.0,0.0,2493.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.08,202.54,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1,6,1
1059110001,10591100,631.66964,41,1,,,1059110003.0,,,,,,,5.0,2.0,2.0,,2014.0,600.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,33.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.0,,18.0,22.0,13.0,1.0,2.0,12572.06,10320.0,0.0,0.0,3043.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
1059110002,10591100,631.66964,3,2,1059110001.0,1059110003.0,,40.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
1059110003,10591100,631.66964,36,2,,,1059110001.0,,,,,,,1.0,2.0,2.0,,2010.0,600.0,2.0,2.0,3.0,,,,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.0,,21.0,15.0,13.0,1.0,2.0,9258.85,7164.55,0.0,0.0,2868.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.76,620.74,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
1059120001,10591200,534.59215,74,2,,,,,,,,,,4.0,3.0,2.0,,1964.0,300.0,5.0,1.0,3.0,2.0,,2.0,,1.0,,,7.0,3.0,53.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,18.0,37.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.94,252.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,1,6,1
1059130001,10591300,117.08666,61,2,,,1059130002.0,,,,,,,2.0,1.0,2.0,,1980.0,400.0,3.0,,,2.0,,2.0,,1.0,,,7.0,3.0,75.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,18.0,36.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1,6,1
