HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10751100,46.70044,1,1,4.0,1984,1,1,,50.0,104.83,,1,1,,3.0,,2,1,2,2,1,1,1,3,900.0,2,,1,2,2,2,1056.48,1036.48,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20.0,0,0,0.0,0,0.0,8,6,1
10751300,43.67468,4,1,3.0,1993,2,1,,35.0,57.5,,1,1,,3.0,3.0,1,1,1,1,1,1,1,3,250.0,2,2.0,2,2,2,2,8651.05,6689.09,6689.09,6289.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1961.96,0,205.53,8,6,1
10751400,45.2806,1,1,4.0,1985,2,1,,150.0,100.0,,1,1,,3.0,,2,2,2,2,1,1,1,2,1000.0,1,,2,1,1,2,6204.31,5176.94,5176.94,5176.94,120.0,120.0,0.0,0.0,0.0,0.0,0,0,4.62,4.62,0,0.0,0.0,35.0,0,0,992.37,-81,0.0,8,6,1
10751700,42.12748,4,1,3.0,1999,2,2,,35.0,65.33,,1,1,,3.0,,2,2,2,2,1,1,1,2,1000.0,1,,2,2,2,2,13654.85,12707.62,10282.01,10282.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,947.23,-248,0.0,8,6,1
10751800,141.10048,4,1,4.5,1993,2,1,,35.0,80.83,,1,1,,2.0,,2,1,2,2,2,1,1,2,600.0,1,,2,2,2,2,5922.54,5902.54,371.18,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20.0,0,0,0.0,0,0.0,8,6,1
10752000,95.59757,1,1,6.0,1991,2,2,,35.0,145.83,,1,1,,3.0,,1,1,1,1,1,1,1,3,800.0,2,,2,2,1,2,25497.83,19918.72,19918.72,16193.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,31.0,0,0,5548.11,0,605.4,8,6,1
10752100,50.89894,4,1,3.0,1989,2,1,,40.0,121.0,,1,1,,3.0,,1,1,2,1,1,1,1,3,500.0,2,,2,2,2,2,12855.43,10937.63,10831.17,6495.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.94,2.94,0,0.0,0.0,0.0,0,0,1917.8,0,0.0,8,6,1
10752200,45.59635,4,1,3.0,1982,2,1,,50.0,180.0,,1,1,,1.0,,2,2,2,2,2,1,1,2,1000.0,1,,2,1,1,2,4748.42,4748.42,4748.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10752300,16.0421,1,5,4.0,2011,2,1,,25.0,26.25,,3,1,,3.0,,2,1,1,2,3,1,3,2,400.0,2,,2,2,2,2,2839.42,2839.42,2839.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,231.01,8,6,1
10752500,39.59749,4,1,2.0,1980,2,1,,25.0,135.0,,1,1,,3.0,,1,2,2,3,3,1,3,3,800.0,2,,2,1,1,2,8007.14,8007.14,8007.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10752600,23.21429,4,1,3.0,1978,2,2,,35.0,150.0,,1,1,,3.0,,2,2,2,2,1,1,3,1,600.0,1,,2,2,2,2,7535.44,7528.44,7528.44,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,7.0,0,0,0.0,0,0.0,8,6,1
10752900,91.27166,4,2,5.0,2003,2,1,,70.0,235.42000000000002,68.0,1,1,3.0,3.0,3.0,1,1,1,2,1,1,1,3,1200.0,1,2.0,1,2,2,2,14359.74,11540.05,11408.05,11408.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.79,6.79,425,0.0,0.0,0.0,0,0,2819.69,-116,0.0,8,6,1
10753300,21.40284,1,1,4.0,1993,2,2,,25.0,73.34,,1,1,,3.0,,1,1,1,3,3,1,3,3,600.0,2,,2,2,2,2,3345.24,3345.24,3345.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10753400,60.8205,1,1,6.0,1993,2,1,,35.0,116.25,,1,1,,3.0,,2,1,2,2,1,1,1,3,600.0,2,,2,2,1,2,11405.7,10711.77,5758.32,5758.32,0.0,0.0,1238.04,1238.04,136.8,0.0,0,0,0.0,0.0,0,0.0,0.0,7.01,0,0,686.92,-47,514.04,8,6,1
10753500,246.66595,1,1,6.0,2015,2,1,,,70.0,,1,1,,3.0,3.0,1,1,1,1,1,1,1,3,1500.0,2,2.0,1,2,2,2,15000.0,14801.03,14801.03,14801.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,6.0,0,0,192.97,0,0.0,8,7,2
10753700,18.87201,4,1,3.0,1998,2,1,,50.0,150.0,,1,1,,3.0,,1,1,1,1,1,1,1,3,600.0,2,,2,2,1,2,15591.53,12363.4,11851.38,11851.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,16.0,0,0,3212.13,-112,0.0,8,6,1
10753800,91.1299,4,1,2.0,2004,1,1,,20.0,165.0,,1,1,,3.0,3.0,2,2,2,2,1,1,1,2,1000.0,1,1.0,2,1,1,2,17460.32,13720.53,12976.86,12976.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,3739.79,-188,0.0,8,6,1
10753900,454.21405,1,1,3.0,2004,2,1,,160.0,160.83000000000004,,1,1,,3.0,,1,1,1,1,1,1,1,4,600.0,2,,2,2,2,2,9908.48,7771.56,7771.56,7771.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,137.07999999999998,137.07999999999998,0,0.0,0.0,80.0,0,0,2056.92,0,0.0,8,6,1
10754000,152.68446,2,1,3.0,2008,2,1,,25.0,58.75,,3,3,,3.0,,1,1,1,1,1,1,1,4,2000.0,2,,2,2,1,2,15789.47,12000.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,3789.47,0,0.0,8,6,1
10754100,48.35168,3,1,4.0,1982,2,1,,1.0,73.66,,1,1,,3.0,,1,1,1,1,1,1,1,3,500.0,3,,2,2,2,2,29231.0,29231.0,29231.0,29231.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,53.13,8,6,1
10754400,119.59815,3,3,1.0,1989,1,1,20.0,,95.08,,1,1,3.0,2.0,,2,2,2,2,1,1,2,1,500.0,1,,1,1,1,2,4224.68,3602.59,3156.22,3156.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,622.09,-80,0.0,8,6,1
10754800,65.20541,4,1,2.0,2000,2,2,,25.0,150.0,,1,1,,3.0,,2,2,2,2,1,1,1,2,500.0,2,,2,1,1,1,2866.93,2700.45,1683.33,1683.33,0.0,0.0,0.0,0.0,0.0,0.0,0,1320,0.0,0.0,0,0.0,0.0,0.0,0,0,166.48,0,169.27,8,6,1
