HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
40283000,131.76391,1,1,4.0,1985,2,1,,50.0,84.67,,1,1,,3.0,3.0,1,1,1,2,1,1,4,600.0,2,,2,2,2,2,32445.77,26002.21,22873.13,22873.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,6443.56,-735,0.0,8,7,2
40283100,212.47669,1,1,4.0,1935,1,1,,1.0,85.0,,1,1,,3.0,,2,1,2,2,3,1,2,1000.0,3,,2,2,2,2,10364.15,10364.15,10364.15,6531.83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,987.46,8,7,2
40283200,188.50723,2,5,1.0,2002,2,1,,100.0,59.67,,2,2,,3.0,,2,2,2,2,1,1,3,1000.0,2,,2,2,2,2,8126.53,6303.84,6157.2,6157.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,620.0,0,0,1202.69,-208,0.0,8,7,2
40283400,166.49441,1,1,3.0,1967,1,1,,1.0,43.0,,1,3,,3.0,,2,2,2,3,3,3,3,1000.0,2,,2,2,2,2,6193.08,6193.08,6193.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,7,2
40283500,75.8848,2,5,2.0,2017,2,2,,10.0,40.0,,1,2,,3.0,,2,2,2,2,3,3,2,700.0,2,,2,2,2,2,1958.4,1958.4,1958.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
40283700,130.81438,1,1,4.0,2006,2,1,,50.0,57.0,,1,1,,3.0,,2,1,2,3,2,1,3,1200.0,3,,2,2,1,2,19511.7,19511.7,19511.7,13124.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,906.29,8,7,2
40283800,66.69408,1,1,5.0,1994,2,1,,,107.92,,1,1,,3.0,3.0,1,1,1,1,1,1,3,700.0,3,3.0,2,2,2,2,37406.56,29364.3,26986.78,26986.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,5.0,0,0,8037.26,-435,218.67,8,7,2
40283900,152.20763,1,1,4.0,1997,2,1,,,84.08,,1,1,,3.0,,2,1,1,3,3,1,3,1000.0,2,,2,1,2,2,17339.51,17339.51,15102.86,9719.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,6.0,0,0.0,0.0,0.0,0,0,0.0,0,449.57,8,7,2
40284000,91.1041,1,1,5.0,1988,2,1,,300.0,104.58,,1,1,,3.0,,1,1,1,1,1,1,4,600.0,3,,2,2,2,2,18262.59,16784.79,16784.79,8686.62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1477.8,-306,0.0,8,7,2
40284100,161.94587,1,1,3.0,1988,2,1,,1.0,89.16,,1,1,,3.0,,2,1,2,2,1,1,3,1200.0,2,,2,2,2,2,21198.36,16987.15,15672.43,15672.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,10.0,0,0,4201.21,0,405.87,8,7,2
