HB030,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,DB090,AP,SL,M_K
108365,4,1,2,1973,2,1,,700.0,350.0,0,1,1,,3.0,,1,1,1,1,1,3,1,1,4,1950,2,,2,2,2,2,26653.37,22903.37,22903.37,-3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,750,3000,0,0.0,0,0.0,181.88065,3,3,1
108367,2,1,3,1960,2,2,,300.0,454.08,0,1,1,,3.0,,2,2,2,1,1,2,1,1,3,2000,1,,2,2,2,2,36696.96,36656.96,36656.96,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,40,0,0,0.0,0,0.0,162.49608,6,4,1
108368,1,1,3,1968,2,1,,300.0,134.5,0,3,3,,3.0,,2,1,2,1,1,3,1,3,3,500,1,,2,2,2,2,15662.36,15662.36,15662.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,283.96,233.65028999999998,10,7,2
108369,4,1,2,1965,2,2,,200.0,220.25,0,1,1,,3.0,,2,2,2,1,1,3,1,3,2,1500,1,,2,2,2,2,22175.1,22175.1,22175.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,1028.57,186.21513000000002,5,5,1
108370,1,1,4,1970,2,1,,500.0,188.33,0,1,1,,3.0,,2,1,2,1,1,3,1,3,2,1500,1,,2,2,2,2,9595.68,9595.68,9595.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,250.58166,9,6,1
108371,4,1,1,2000,2,2,,200.0,162.17,0,1,1,,3.0,,2,2,2,1,1,3,1,3,2,1000,1,,1,2,2,2,9936.0,9936.0,9756.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,969.31979,10,1,1
108373,1,1,2,2000,2,1,,150.0,162.83,0,1,1,,3.0,,1,1,1,1,1,3,1,3,3,1000,2,,2,2,2,2,12298.04,12298.04,12298.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,1750.3,904.0721800000001,5,7,2
108374,4,1,3,2002,2,1,,400.0,452.5,0,1,1,,3.0,,2,1,2,1,1,3,1,1,1,1450,1,,2,2,2,2,17951.16,16951.16,16801.16,-1000.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0,0.0,0.0,0,0.0,0,0,1000,0,0.0,0,0.0,241.14657000000003,2,6,1
108375,4,1,3,2002,2,1,,,228.42,0,1,1,,3.0,,2,1,2,1,1,3,1,3,2,1000,1,,2,1,1,1,14438.66,14438.66,14438.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,524.15178,3,3,1
108376,1,1,4,1979,1,1,,200.0,217.5,0,3,3,,3.0,,2,1,2,1,1,3,1,1,3,1500,3,,2,2,2,2,18008.52,18008.52,18008.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,319.6196,2,7,2
108377,4,1,2,1976,2,1,,300.0,517.5,0,1,1,,3.0,,2,1,2,1,1,3,1,3,2,1500,2,,2,1,1,2,21356.52,21316.52,21316.52,710.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,40,0,0,0.0,0,1022.77,242.20334,2,6,1
108379,1,1,5,2007,2,1,,1000.0,348.0,0,1,1,,3.0,,2,1,2,1,1,3,1,3,2,1600,1,,2,2,2,2,9721.69,9721.69,9721.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,519.55627,2,2,1
108380,1,1,3,1969,2,1,,300.0,213.33,0,1,1,,3.0,,1,1,1,1,1,3,1,1,3,1000,2,,2,2,2,2,18478.29,18478.29,18478.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,85.15491,6,4,1
108381,1,1,3,1975,1,1,,,126.67,0,3,3,,3.0,,2,2,2,3,1,3,3,3,2,1000,2,,1,2,2,2,9505.85,9505.85,9505.85,925.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,459.88,813.9413099999999,9,7,2
