PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10645101,106451,90.18055,57,1,,,10645103.0,,,,,,,2.0,1.0,2.0,,1990.0,5.0,,2.0,3.0,2.0,,1.0,3.0,,,,1.0,3.0,31.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,12.0,2.0,1.0,25007.17,19389.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645103,106451,90.18055,53,2,,,10645101.0,,,,,,,2.0,1.0,2.0,,1980.0,4.0,3.0,2.0,3.0,2.0,,2.0,,1.0,2.0,,10.0,3.0,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645201,106452,46.84054,57,1,,,10645202.0,,,,,,,2.0,1.0,2.0,,1994.0,4.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,12.0,1.0,2.0,12680.02,10800.0,0.0,0.0,3356.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645202,106452,46.84054,53,2,,,10645201.0,,,,,,,2.0,1.0,2.0,,1982.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,23.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,12.0,1.0,2.0,12159.51,10440.0,0.0,0.0,3206.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645203,106452,46.84054,19,2,10645201.0,10645202.0,,,,,,,,1.0,3.0,1.0,5.0,2012.0,3.0,,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645401,106454,90.42738,57,1,,,10645402.0,,,,,,,2.0,1.0,2.0,,1988.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,11.0,1.0,2.0,28704.76,22088.33,0.0,0.0,8892.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8065.56,0.0,10,1,1
10645402,106454,90.42738,54,2,,,10645401.0,,,,,,,2.0,1.0,2.0,,1981.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,,13.0,1.0,2.0,24263.43,18838.35,0.0,0.0,7516.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.64,899.36,0.0,0.0,10,1,1
10645501,106455,103.10407,57,1,,,10645502.0,,,,,,,2.0,1.0,2.0,,1974.0,4.0,3.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,83.0,48.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,52.0,,12.0,1.0,2.0,9588.16,8100.22,0.0,0.0,2970.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
10645502,106455,103.10407,53,2,,,10645501.0,,,,,,,2.0,1.0,2.0,,1978.0,4.0,3.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,91.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,,13.0,1.0,2.0,9463.58,8160.0,0.0,0.0,2731.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.33,618.97,0.0,0.0,1,6,1
10645504,106455,103.10407,20,1,10645501.0,10645502.0,,,,,,,,1.0,3.0,1.0,4.0,2011.0,3.0,,,,,,,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
10645601,106456,323.29389,57,1,,,,,,,,,,1.0,3.0,2.0,,1973.0,3.0,3.0,,3.0,2.0,,2.0,,1.0,2.0,,5.0,3.0,93.0,,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,3231.79,3000.0,0.0,0.0,481.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,2
