HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
301847,172.05988,4,1,3.0,2001,2,2,,600.0,187.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1000.0,1.0,,2,2,2,2,7845.56,7845.56,7845.56,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,50.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
301848,143.10966,1,1,5.0,1959,2,2,,1.0,325.67,,3,3,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1500.0,2.0,,1,2,2,2,9495.24,9408.24,9408.24,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,87,0,0,0.0,0,0.0,2,7,2
301849,41.96101,4,1,4.0,1980,2,1,,250.0,500.0,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3000.0,1.0,,2,1,1,2,17317.32,17317.32,17317.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3,6,1
301850,172.05988,4,1,3.0,2008,2,2,,1000.0,400.0,,1,1,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2000.0,2.0,,2,2,1,2,26194.7,25762.92,25762.92,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,431.78,0,0.0,10,1,1
301851,42.90991,1,1,5.0,1948,2,1,,100.0,150.25,,3,3,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1000.0,3.0,,2,2,2,2,18194.76,18194.76,18194.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,2465.52,2,7,2
301852,164.67785,2,1,3.0,1978,2,2,,,185.83,,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1000.0,1.0,,2,2,2,2,10862.76,10641.6,10641.6,947.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,221.16,0,0.0,1,6,1
301855,38.5567,4,1,3.0,1978,2,1,,,356.58,,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2000.0,1.0,,2,2,2,2,23681.88,23681.88,20846.88,0.0,0.0,0.0,0.0,0.0,2835.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
301856,53.50808,4,1,4.0,2009,2,2,,150.0,320.0,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2500.0,1.0,,2,2,2,2,34804.58,34696.66,34696.66,1574.62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,450.0,450.0,0,0.0,0.0,0,0,0,107.92,0,0.0,1,6,1
301857,267.01635,4,1,2.0,1983,1,1,,,280.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1000.0,1.0,,2,1,1,2,11738.76,11713.76,11713.76,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,0.0,0,0.0,3,3,1
301859,45.3222,2,1,3.0,1986,2,2,,300.0,173.33,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1500.0,3.0,,2,2,2,2,18302.64,18302.64,18302.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,891.55,6,7,2
301861,57.75625,4,1,3.0,1977,2,1,,,330.0,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1600.0,2.0,,2,2,2,2,24683.28,24683.28,22471.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,433.52,9,6,1
301863,39.88957,4,2,3.0,2007,1,2,,,270.0,1.0,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1500.0,1.0,,2,2,2,2,17527.68,17527.68,17527.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,5,7,2
301864,69.47115,4,1,4.0,2005,1,1,,100.0,628.17,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3400.0,1.0,1.0,2,2,2,2,22735.04,22735.04,7936.68,0.0,0.0,0.0,0.0,0.0,156.0,338.0,0,2220,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,6,1
301865,59.37658,3,1,3.0,1975,2,2,,,621.67,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2500.0,1.0,,2,2,2,2,55120.97,45008.33,45008.33,36410.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,10112.64,0,0.0,10,1,1
301866,57.56239,1,1,4.0,1970,2,1,,100.0,275.0,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1500.0,2.0,,2,2,2,2,18682.68,18682.68,18682.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3,7,2
301867,51.41528,1,1,6.0,2005,2,1,,200.0,294.33,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2000.0,3.0,,2,2,2,2,22172.88,22122.88,22122.88,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,50,0,0,0.0,0,0.0,10,7,2
301868,91.8139,1,1,4.0,1990,2,2,,300.0,446.67,,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,700.0,1.0,,2,2,2,2,7930.92,7930.92,7930.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,5,5,1
301871,53.52969,4,1,3.0,1970,2,2,,550.0,750.0,,1,1,,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2000.0,1.0,,2,2,2,2,41494.0,40366.0,40366.0,20485.0,3240.0,3240.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1128.0,0,0.0,2,2,1
301872,142.95411,1,1,4.0,1972,1,2,,,95.33,,3,3,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1000.0,2.0,,2,2,2,2,9048.24,9048.24,9048.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,9,7,2
301873,172.31067,3,1,3.0,1980,2,2,,300.0,271.67,,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1000.0,1.0,,2,2,2,2,9580.8,9580.8,9580.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,7,6,1
301874,269.58744,4,1,3.0,1966,1,2,,,223.33,,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1600.0,1.0,,1,1,1,2,12484.8,12484.8,12484.8,5127.0,0.0,0.0,0.0,0.0,0.0,0.0,2760,0,2367.0,2367.0,0,0.0,0.0,0,0,0,0.0,0,0.0,3,3,1
301875,57.83462,4,1,3.0,1982,2,1,,500.0,284.83,,1,1,,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2000.0,1.0,,2,2,2,2,20023.68,20023.68,20023.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
301876,134.99488,1,1,5.0,1960,1,2,,1.0,178.58,,3,3,,3.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,700.0,2.0,,2,2,2,2,9126.12,9126.12,9126.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,1413.55,1,7,2
301878,107.05938,1,2,5.0,1962,2,1,,500.0,1650.0,8400.0,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,1,1,1,2,46876.94,41922.7,41387.27,20033.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,13500,0.0,0.0,75,0,0,4879.24,-814,0.0,2,2,1
301880,41.75192,1,1,4.0,1969,2,1,,180.0,228.5,,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1800.0,2.0,,2,2,2,2,17190.24,17190.24,17190.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,929.74,7,7,2
301881,93.73425,4,1,2.0,1989,1,2,,100.0,420.0,,1,1,,1.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1800.0,1.0,,2,1,1,2,7318.32,7318.32,7318.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,6,1
301882,58.47016,1,1,5.0,1969,2,1,,300.0,211.17,,1,3,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2500.0,2.0,,2,2,2,2,15191.22,15180.22,15131.47,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,11,0,0,0.0,0,1268.06,3,7,2
301883,38.86953,3,1,4.0,1967,2,2,,600.0,284.33,,1,1,,3.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2000.0,1.0,,2,2,2,2,18507.24,18507.24,18507.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,1,1
301884,53.80949,4,1,3.0,1970,2,2,,300.0,250.0,,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1500.0,1.0,,2,2,2,2,18180.6,18180.6,18180.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,2,2,1
301885,229.10618,4,1,3.0,1986,1,2,,150.0,580.0,,1,1,,1.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1500.0,2.0,,2,2,1,2,8115.96,8115.96,8115.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,10,6,1
301886,152.56882,1,1,6.0,1980,2,1,,1.0,105.0,,3,1,,3.0,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,700.0,3.0,,2,2,2,2,11411.93,11411.93,11411.93,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,50.0,0,0.0,0.0,0,0,0,0.0,0,0.0,6,7,2
301887,145.34474,3,1,3.0,1979,2,1,,40.0,150.67,,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1000.0,1.0,,2,2,2,2,8120.76,8100.76,8100.76,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20,0,0,0.0,0,0.0,2,7,2
