PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,PD020,PD030,PD050,PD060,PD070,PD080,AP,SL,M_K
1059070001,10590700,153.49402,71,1,,,1059070002.0,,,,,,,2.0,1.0,2.0,,1964.0,300.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,73.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,19.0,37.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164.73,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,1,6,1
1059070002,10590700,153.49402,70,2,,,1059070001.0,,,,,,,2.0,1.0,2.0,,1965.0,300.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,73.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,33.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,1,6,1
1059080001,10590800,226.48259,62,1,,,,,,,,,,4.0,3.0,2.0,,1973.0,400.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,51.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.0,,18.0,41.0,13.0,1.0,1.0,7192.96,5529.73,0.0,0.0,2228.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
1059080003,10590800,226.48259,26,1,1059080001.0,,,,,,,,,1.0,3.0,2.0,,2012.0,600.0,1.0,2.0,3.0,,,,,,,,1.0,3.0,73.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,,22.0,4.0,13.0,1.0,2.0,12451.05,9198.48,0.0,0.0,3967.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
1059100001,10591000,35.86606,56,1,,1059100002.0,,,,,,,,1.0,3.0,2.0,,1984.0,600.0,3.0,2.0,2.0,,,2.0,,,,,1.0,3.0,23.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,22.0,28.0,13.0,1.0,2.0,8624.21,6688.76,0.0,0.0,2671.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.32,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
1059100002,10591000,35.86606,84,2,,,,,,,,,,4.0,3.0,2.0,,1958.0,600.0,,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,23.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,26.0,33.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.76,252.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1,6,1
1059100003,10591000,35.86606,52,2,,1059100002.0,,,,,,,,1.0,3.0,2.0,,1986.0,600.0,3.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,26.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.0,,24.0,29.0,12.0,1.0,2.0,9273.95,7264.77,0.0,0.0,2917.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.61,163.57,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
1059110001,10591100,492.22066,42,1,,,1059110003.0,,,,,,,5.0,2.0,2.0,,2014.0,600.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.0,,18.0,23.0,13.0,1.0,2.0,13236.76,10800.0,0.0,0.0,3345.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1,6,1
1059110002,10591100,492.22066,4,2,1059110001.0,1059110003.0,,40.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
1059110003,10591100,492.22066,37,2,,,1059110001.0,,,,,,,1.0,2.0,2.0,,2010.0,600.0,,2.0,3.0,2.0,,,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.0,,21.0,16.0,13.0,1.0,2.0,8782.73,6960.0,0.0,0.0,2666.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.21,222.95,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6,1
