HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10000400,239.69852,4,1,5.0,1992,2,1,,320.0,146.67,,1,1,,3.0,,1,1,1,1,1,1,3,1200.0,2,,2,2,2,2,35391.06,28236.08,27235.99,24041.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,8.0,0,0,7146.98,-299,0.0,10,1,1
10000500,99.74599,4,1,3.0,1973,2,2,,250.0,105.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,3,4,1000.0,2,,2,2,2,1,21030.54,16659.11,16514.21,13581.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,600,0,3771.43,0,0.0,10,1,1
10000600,185.02378,4,4,1.5,1999,2,1,118.0,,268.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,1,4,2000.0,3,3.0,2,1,1,2,25218.97,21994.83,15839.29,11545.93,0.0,0.0,6155.54,5320.47,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,3224.14,0,0.0,10,1,1
10001100,113.88787,4,1,2.0,2000,2,1,,200.0,118.33,,1,1,,3.0,,1,1,1,1,1,1,4,800.0,2,2.0,1,2,2,2,47310.03,35254.87,34302.15,34302.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,12055.16,0,0.0,10,1,1
10001200,157.47629,3,1,4.0,2007,2,2,,400.0,170.0,,1,1,,3.0,,1,1,1,1,1,1,4,700.0,3,,2,2,2,2,33299.58,27969.31,27654.45,21558.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.01,0.01,0,0.0,0.0,0.0,0,0,5330.27,-482,0.0,10,1,1
10001300,228.11564,3,1,3.0,1970,2,2,,,177.5,,1,1,,3.0,,2,1,1,1,1,1,3,1100.0,2,,2,2,2,2,45836.79,36809.54,35729.95,35729.95,3000.0,3000.0,0.0,0.0,0.0,0.0,0,0,33.79,33.79,0,0.0,0.0,258.0,0,0,8769.25,-363,163.6,10,1,1
10001400,94.65006,4,5,3.0,2015,2,1,,220.0,1.0,,1,1,,,2.0,1,1,2,2,1,1,2,1000.0,3,3.0,2,2,2,2,6188.75,5590.93,2082.18,2082.18,0.0,0.0,3508.75,2913.08,0.0,0.0,1200,0,0.0,0.0,0,0.0,0.0,0.0,0,0,597.82,-351,0.0,10,1,1
10001500,38.84184,4,1,4.0,1988,2,2,,110.0,85.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,1,4,1250.0,3,,2,2,2,2,28031.22,25118.83,21689.31,12429.63,0.0,0.0,330.22,330.22,0.0,0.0,0,0,5.91,5.91,0,0.0,0.0,93.0,0,0,2819.39,0,386.06,10,1,1
10001800,95.28295,4,1,2.0,1984,2,2,,250.0,85.0,,1,1,,3.0,,1,1,1,1,3,1,3,725.0,2,,2,1,1,2,17008.61,13783.43,13783.43,13783.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,3225.18,-29,0.0,10,1,1
10001900,85.9792,4,1,3.0,1976,2,2,,400.0,130.0,,1,1,,3.0,,2,2,2,1,3,2,3,625.0,1,,2,2,2,2,7483.8,7483.8,7483.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10002400,109.6994,4,1,4.0,1985,2,2,,,110.0,,1,1,,3.0,,2,1,2,2,1,2,3,1000.0,2,,2,2,2,2,14431.51,13966.4,12463.63,4127.59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,465.11,-18,0.0,10,1,1
10002500,141.25561,1,1,5.0,2005,2,1,,500.0,136.67000000000002,,1,1,2.0,2.0,2.0,1,1,2,1,1,1,3,1000.0,2,,2,2,2,2,15732.05,13140.03,10007.4,10007.4,0.0,0.0,1949.7,1949.7,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,5.0,0,0,2587.02,0,0.0,10,1,1
10003100,218.39797,4,1,2.0,1987,2,1,,150.0,50.0,,1,1,,3.0,,1,1,2,2,3,3,3,500.0,2,,1,2,1,2,4494.98,4494.98,4494.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10003300,52.8026,4,1,4.0,2005,2,2,,,108.33,,1,1,,3.0,,1,1,1,3,2,1,4,700.0,2,,2,2,2,2,13726.92,13726.92,13726.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10003900,91.47519,4,1,3.0,1973,2,2,,250.0,70.0,,1,1,,3.0,,2,1,2,3,3,3,2,500.0,1,,2,2,2,2,5660.45,5660.45,5660.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10004000,194.91472,2,1,5.0,2002,2,1,,600.0,90.0,,1,1,,3.0,,1,1,1,1,1,1,5,2000.0,3,,2,2,2,2,82249.35,64843.53,63305.67,63305.67,2900.0,2900.0,1537.86,1537.86,0.0,0.0,0,0,4055.98,4055.98,0,0.0,0.0,7.0,0,0,17398.82,0,0.0,10,1,1
10004200,264.31806,4,1,2.0,2010,2,1,,70.0,85.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,3,4,450.0,2,,2,2,2,1,8061.27,6602.58,6210.08,6210.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1458.69,0,0.0,10,1,1
10004800,300.89935,4,1,3.0,2000,1,1,,400.0,200.0,,1,1,,3.0,3.0,1,1,1,1,1,1,4,600.0,2,2.0,2,2,2,2,16205.11,15573.32,14469.02,14469.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,8.0,0,0,623.79,-274,0.0,10,1,1
10005100,136.41974,4,1,2.0,2009,2,2,,,76.25,,1,1,,3.0,,1,1,1,3,2,1,4,1000.0,3,,2,2,2,2,8757.36,8757.36,8757.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10005300,492.90693,4,1,4.0,2014,2,1,,,90.0,,1,1,,3.0,,1,1,1,1,1,1,4,1000.0,3,,2,2,2,2,19818.99,17657.36,4211.55,4211.55,0.0,0.0,12395.81,10276.33,1050.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2161.63,0,0.0,10,1,1
10006100,65.41387,4,1,4.0,2000,2,1,,300.0,170.0,,1,1,,3.0,,1,1,1,1,1,1,3,1000.0,2,,2,2,2,2,45884.41,36186.9,33638.02,33638.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,14.0,0,0,9683.51,-42,0.0,10,1,1
10006400,176.43176,4,2,6.0,2007,2,1,,700.0,245.0,175.0,1,1,3.0,3.0,,1,1,1,1,1,1,4,1500.0,2,,2,2,2,2,77593.51,64668.12,61370.18,61370.18,4230.0,3600.0,660.44,660.44,0.0,0.0,0,0,33218.409999999996,28598.409999999996,540,0.0,0.0,19.0,0,0,12906.39,-306,0.0,10,1,1
10006500,256.88984,4,1,4.0,2001,2,1,,200.0,75.0,,1,1,,3.0,,1,1,1,1,1,1,3,1400.0,2,,2,1,1,2,19811.26,18053.4,7761.74,7761.74,0.0,0.0,660.44,660.44,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1757.86,0,0.0,10,1,1
10006600,52.63644,4,1,4.0,1973,2,2,,250.0,80.0,,1,1,,1.0,,2,2,2,3,2,3,2,575.0,2,,2,2,2,2,4093.79,4093.79,4093.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10006700,181.24645,4,1,1.0,2006,2,1,,110.0,60.0,,1,1,,3.0,,1,1,2,1,1,1,3,575.0,2,,2,2,2,2,430.22,410.22,80.0,80.0,0.0,0.0,330.22,330.22,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20.0,0,0,0.0,0,0.0,10,1,1
10006900,100.28929,4,1,5.0,1996,2,1,,,80.0,,1,1,,3.0,,1,1,1,1,1,1,3,1000.0,2,,2,2,2,2,43181.05,32257.72,32257.72,32257.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,162.37,0,0,10760.96,0,0.0,10,1,1
10007400,233.30269,4,1,2.0,1995,2,1,,200.0,100.0,,1,1,,3.0,,1,1,1,1,1,1,4,500.0,2,,2,2,2,2,14611.58,11383.35,11383.35,11383.35,1056.0,1056.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,9.0,0,0,3219.23,0,0.0,10,1,1
10007600,130.1773,4,1,5.0,1970,2,1,,350.0,130.0,,1,1,,3.0,,1,1,1,1,1,1,3,1000.0,2,,2,2,2,2,29045.0,27569.31,27569.31,19985.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,3000,1475.69,0,0.0,10,1,1
10008300,216.21434,4,1,3.0,2008,2,1,,300.0,115.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,1,3,1500.0,2,,2,2,1,2,27324.52,23361.67,21785.15,21785.15,2400.0,2400.0,660.44,660.44,0.0,0.0,7280,0,60.0,60.0,0,0.0,0.0,5.0,0,0,3957.85,-86,0.0,10,1,1
10008400,71.82807,4,1,4.0,1976,2,2,,600.0,242.5,,1,1,,3.0,,1,1,2,3,1,1,3,1500.0,1,,2,1,1,2,11791.46,9883.46,9553.24,-1858.52,0.0,0.0,330.22,330.22,0.0,0.0,0,0,49.480000000000004,49.480000000000004,0,0.0,0.0,0.0,1908,0,0.0,0,0.0,10,1,1
10008500,167.59952,4,1,3.0,2013,2,2,,250.0,90.0,,1,1,,3.0,,1,1,2,3,1,1,3,950.0,2,,2,2,2,2,14676.64,13987.68,11655.0,11655.0,0.0,0.0,330.22,330.22,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,688.96,-55,0.0,10,1,1
10008700,312.88859,4,1,2.0,2000,2,2,,,68.33,,1,1,,3.0,,1,1,1,1,1,2,4,700.0,2,,2,1,2,2,10652.79,8551.73,8551.73,8551.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,391.73,391.73,0,0.0,0.0,0.0,0,0,2101.06,0,0.0,10,1,1
10008800,258.03033,3,1,2.0,1979,2,2,,,53.33,,1,1,,3.0,,1,1,1,1,1,3,5,500.0,3,,2,2,2,2,8913.43,8721.19,8721.19,2698.25,1068.24,908.0,0.0,0.0,0.0,0.0,900,0,0.0,0.0,0,0.0,0.0,32.0,0,0,160.24,0,130.83,10,1,1
10009500,85.197,3,1,3.0,1983,2,1,,250.0,60.0,,1,1,,3.0,,2,1,2,3,1,1,3,700.0,2,,2,2,2,2,8685.48,8685.48,8685.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
10009600,282.60687,4,1,4.0,2007,2,1,,250.0,100.0,,1,1,,3.0,3.0,1,1,1,1,1,1,4,1250.0,3,3.0,2,2,2,2,32650.46,25595.71,25265.49,25265.49,0.0,0.0,330.22,330.22,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,7054.75,-109,0.0,10,1,1
10009900,276.55264,4,2,4.0,2015,2,1,,220.0,88.75,160.0,1,1,3.0,3.0,,1,1,1,1,1,1,3,1200.0,2,,2,2,2,2,34389.97,26672.61,26019.26,26019.26,0.0,0.0,330.22,330.22,0.0,0.0,0,0,0.28,0.28,225,0.0,0.0,0.0,0,0,7717.36,-122,0.0,10,1,1
10010100,77.31058,4,1,3.0,2000,2,1,,350.0,90.0,,1,1,,3.0,,1,1,1,1,1,1,4,1000.0,3,,2,2,2,2,119118.12,89726.7,89726.7,89726.7,3900.0,3315.0,0.0,0.0,0.0,0.0,0,0,151.03,128.38,0,0.0,0.0,223.5,0,0,29167.92,0,0.0,10,1,1
10010900,96.04456,4,1,4.0,1970,2,1,,300.0,100.0,,1,1,,3.0,,1,1,1,1,1,1,3,1200.0,2,,2,2,2,2,35212.47,28628.24,27977.27,23956.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,6584.23,0,0.0,10,1,1
10011200,222.27923,4,1,2.0,1961,2,1,,70.0,90.0,,1,1,,3.0,,2,1,1,1,3,2,3,280.0,1,,2,1,2,2,4152.44,4152.44,4152.44,125.0,125.0,125.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,10,1,1
