HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10590700,452.9616,4,1,2.0,1980,2,1,,200.0,289.25,,1,1,,3.0,,1,2,1,1,1,3,1,1,3,1500,2,,2,2,2,2,25971.6,25971.6,25971.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10590800,835.60789,4,1,3.0,2002,2,1,,300.0,451.5,,1,1,,3.0,,1,1,2,1,1,1,1,1,2,2000,1,,2,1,1,2,37239.15,30795.06,24585.09,24585.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,6419.09,0,0.0,1,6,1
10591000,102.16463,1,1,5.0,1971,1,1,,400.0,351.33,,1,1,,3.0,,2,1,2,1,1,1,1,1,3,3500,2,,2,2,2,2,46008.21,40233.55,28324.18,18285.46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5774.66,0,0.0,1,6,1
10591100,1683.82812,1,4,4.0,2012,2,1,200.0,,442.0,,1,1,,3.0,,2,1,1,1,1,1,1,1,3,3000,2,,2,2,2,2,55045.85,43943.56,26265.24,26265.24,0.0,0.0,17678.32,14477.11,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,11102.29,-906,0.0,1,6,1
10591200,1151.38448,4,1,1.0,2003,2,2,,150.0,154.75,,1,1,,3.0,,1,1,2,1,1,3,1,3,3,1000,2,,2,2,2,2,9637.32,9637.32,9637.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10591300,273.46746,4,1,4.0,1978,2,2,,100.0,354.5,,1,1,,3.0,,2,2,2,1,1,1,1,1,3,3000,2,,2,2,2,2,50967.09,43704.78,37629.42,24106.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1009.92,807.92,0,0.0,0.0,0,0,0,7262.31,0,0.0,1,6,1
10591400,429.62422,4,1,3.0,2004,2,1,,200.0,190.46,,1,1,,3.0,,2,1,2,1,1,3,1,3,3,1800,2,,2,2,2,2,15468.48,15468.48,10153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10591500,821.68867,4,1,3.0,1998,2,1,,200.0,356.67,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,,2,2,2,2,70587.02,54350.96,54350.96,54350.96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,16236.06,-21,0.0,1,6,1
10591600,1235.35569,4,1,3.0,2009,2,1,,200.0,348.67,,1,1,,3.0,,2,1,2,1,1,1,1,1,3,3000,2,,2,2,2,2,42812.45,33805.17,33648.47,33648.47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,9007.28,0,0.0,1,6,1
10591700,219.65745,4,1,3.0,1980,2,1,,200.0,324.42,,1,1,,3.0,,2,1,2,1,1,1,1,1,3,2000,2,,2,2,2,2,29717.42,25301.83,25301.83,16163.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,4415.59,0,0.0,1,6,1
10591800,199.98035,1,2,6.0,2003,2,1,,,531.67,8.75,1,1,3.0,3.0,,1,1,1,1,1,1,1,1,4,4000,3,,2,2,2,2,172544.87,147209.08,146587.62,146587.62,12000.0,10200.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,816,0.0,0.0,150,18000,0,7185.79,-180,0.0,1,6,1
10592000,302.53305,4,1,3.0,1989,1,1,,100.0,371.17,,1,1,,3.0,,1,1,1,1,1,1,1,1,2,4000,2,,2,1,2,2,42551.81,34930.85,24028.85,24028.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,7595.96,0,0.0,1,6,1
10592200,821.68867,4,1,2.0,1998,2,1,,100.0,310.42,,1,1,,3.0,,1,1,2,1,1,1,1,1,3,5500,2,,2,1,1,1,49479.03,39751.94,39491.94,39491.94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,9727.09,-773,0.0,1,6,1
10592300,289.12582,2,1,3.0,1959,1,1,,400.0,576.5,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,4000,2,,2,1,2,2,106604.31,82546.66,80038.74,60887.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,582.0,582.0,0,0.0,0.0,0,4650,0,19407.65,-331,0.0,1,6,1
10592400,436.65699,4,1,4.0,1984,2,1,,200.0,353.5,,1,1,,3.0,,2,1,1,1,1,3,1,1,3,2000,2,,2,2,2,2,23791.68,23791.68,23791.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10592600,394.33128,4,1,3.0,1987,2,1,,200.0,500.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,,2,2,2,2,32181.66,30521.99,19590.71,6372.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1659.67,0,0.0,1,6,1
10592700,440.06103,4,1,3.0,1983,2,1,,300.0,374.58,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,4000,2,,2,2,2,2,51779.59,43690.0,43690.0,43690.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,8089.59,-490,0.0,1,6,1
10592800,920.0858,1,1,9.0,1992,2,1,,,427.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,1,1,1,3,5000,2,1.0,2,2,2,2,50101.21,42595.16,35135.5,27414.82,0.0,0.0,1872.0,1872.0,1082.02,0.0,0,0,0.0,0.0,0,0.0,0.0,0,2000,0,5506.05,-618,0.0,1,6,1
10592900,848.02268,3,1,2.0,2011,2,1,,,168.33,,1,1,,3.0,,1,1,1,1,1,1,1,1,5,5000,2,,2,2,2,2,51007.19,45200.0,45200.0,45200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200.0,200.0,0,0.0,0.0,0,0,0,5807.19,0,0.0,1,6,1
10593000,238.68191,1,1,6.0,2003,2,1,,300.0,646.33,,1,1,,3.0,,1,1,1,1,1,1,1,1,4,4000,3,,2,1,2,2,223692.2,214307.2,214307.2,214307.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,3000,0,6360.0,0,0.0,1,6,1
10593100,545.63783,4,1,3.0,1975,2,2,,100.0,276.96,,1,1,,3.0,,2,1,1,1,1,3,1,1,3,2500,2,,2,2,2,2,80832.94,67190.69,65895.92,42105.77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,13642.25,0,0.0,1,6,1
10593300,621.28109,4,1,3.0,1983,1,2,,200.0,338.42,,1,1,,3.0,3.0,2,2,2,1,1,1,1,1,2,2000,1,1.0,2,2,2,2,13652.95,14315.04,14066.31,14066.31,0.0,0.0,0.0,0.0,0.0,0.0,0,250,0.0,0.0,0,0.0,0.0,0,0,0,-662.09,-3159,0.0,1,6,1
10593400,327.7607,4,1,1.0,2004,2,1,,,99.17,,2,2,,3.0,,2,2,2,1,1,3,1,3,3,800,2,,2,2,2,2,2965.67,2965.67,0.0,0.0,0.0,0.0,0.0,0.0,2965.67,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10593500,462.64091,4,1,5.0,1998,2,2,,,382.5,,1,1,,3.0,,2,2,2,1,1,1,1,1,3,4000,2,,2,2,2,2,34796.73,31771.67,31622.18,20984.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,3025.06,-6,0.0,1,6,1
10593600,440.99359,4,1,2.0,1983,2,1,,200.0,288.67,,1,1,,3.0,,2,2,1,1,1,3,1,3,3,1600,2,,2,2,2,2,23309.28,23309.28,23309.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10593700,786.24984,1,1,7.0,1978,2,1,,1.0,516.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,4,1500,1,,2,2,2,2,115236.21,107304.88,101172.78,84981.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,7906.33,0,10059.96,1,7,2
10593800,998.7729,1,1,5.0,1990,2,1,,,267.0,,1,1,,3.0,,2,1,1,1,1,1,1,1,3,2500,2,,2,2,2,2,23032.99,18237.19,17744.75,14110.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,3000,0,1795.8,0,2612.11,1,7,2
10593900,1053.72566,2,1,4.0,1965,1,1,,1.0,146.33,,2,2,,3.0,,2,1,2,1,1,1,1,1,4,1000,3,,2,1,2,2,27641.88,27641.88,8913.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,7,2
10594000,1891.7037,1,1,4.0,1968,2,2,,,140.83,,3,3,,3.0,,2,2,1,1,1,3,1,3,2,800,2,,2,2,2,2,7948.44,7948.44,7948.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,7,2
10594200,1102.80659,1,1,3.0,2007,2,1,,200.0,248.29,,1,1,,3.0,,2,1,1,1,1,1,1,1,3,2000,2,,2,2,2,2,25006.26,22879.76,5786.93,5786.93,0.0,0.0,0.0,0.0,0.0,136.44,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2126.5,0,0.0,1,7,2
10594300,629.63748,1,1,5.0,1960,2,1,,,407.67,,1,1,,3.0,,2,1,1,1,1,3,1,1,3,2500,2,,2,2,2,2,21350.52,21350.52,21350.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,5700.36,1,7,2
10594500,673.10916,1,1,5.0,2007,2,1,,,408.67,,1,1,,3.0,,1,1,1,1,1,1,1,1,2,4000,3,,2,2,2,2,40851.72,37160.6,36648.84,36648.84,12568.19,12568.19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,3666.12,0,0.0,1,7,2
10594600,600.89823,1,1,4.0,1978,2,1,,,315.33,,1,3,,3.0,,2,1,1,1,1,3,1,1,3,3000,3,,2,2,2,2,16867.15,16584.99,16584.99,16584.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,282.16,0,2907.14,1,7,2
10594800,1882.59077,1,1,4.0,1963,2,2,,,166.83,,3,3,,3.0,,2,2,1,1,1,3,1,3,2,800,1,,2,2,2,2,16904.52,16904.52,16904.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,7,2
10594900,1285.84582,1,1,4.0,1982,2,1,,,287.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,4,4000,2,,2,2,2,2,49643.44,45690.97,38712.36,26240.04,1050.0,894.0,6666.61,6029.11,312.0,0.0,0,0,0.0,0.0,0,0.0,0.0,75,0,0,3877.47,-581,0.0,1,7,2
10595000,723.22353,1,1,6.0,1969,2,1,,,323.67,,1,1,,3.0,,1,1,1,1,1,1,1,1,4,3000,2,,2,2,2,2,56071.6,50375.0,50375.0,50375.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,5671.6,0,0.0,1,7,2
10595100,265.47063,1,1,4.0,1999,1,1,,200.0,211.67,,3,1,,3.0,,2,1,1,1,1,1,1,1,3,2000,2,,2,2,2,2,34124.84,28990.18,24216.76,24216.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5134.66,-315,840.59,1,7,2
10595200,731.89503,1,1,6.0,1984,2,1,,100.0,331.17,,1,1,,3.0,,2,1,1,1,1,3,1,1,4,1500,3,3.0,2,2,2,2,50938.96,42340.87,42340.87,34915.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,25,0,0,8573.09,0,299.3,1,7,2
10595300,1921.87141,3,1,3.0,1968,2,1,,100.0,107.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,1200,2,,2,2,2,2,46894.11,42923.94,42294.95,12666.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,3970.17,-83,0.0,1,7,2
10595400,2291.68157,1,1,4.0,1983,1,2,,1.0,58.33,,1,3,,3.0,,1,1,2,1,1,1,1,2,3,700,1,,2,1,2,2,3956.5,3946.91,96.91,96.91,0.0,0.0,0.0,0.0,3850.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,9.59,0,1577.65,1,7,2
10595600,1042.76074,1,1,3.0,1940,1,1,,200.0,113.67,,3,3,,3.0,,2,1,2,1,1,3,1,3,3,1200,2,,2,2,2,2,10799.4,10799.4,10799.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,7,2
10595700,55.99775,4,1,4.0,1955,2,1,,300.0,570.0,,1,1,,3.0,,1,1,1,1,1,1,1,3,2,4500,1,,2,2,2,2,60827.39,52108.52,45726.15,24935.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,8718.87,-594,0.0,2,2,1
10595800,194.97608,4,1,3.0,1969,2,1,,400.0,342.5,,1,1,,3.0,,1,1,2,1,1,1,1,1,3,2000,2,,2,2,2,2,24430.84,24260.84,24260.84,-76.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,93.5,93.5,0,0.0,0.0,170,0,0,0.0,0,495.85,2,2,1
10596000,133.78477,4,1,3.0,1969,2,2,,700.0,433.33,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,2000,2,2.0,1,1,1,2,74615.44,66957.44,66957.44,43742.0,51400.0,43690.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,7658.0,-52,0.0,2,2,1
10596100,206.53925,1,1,5.0,1976,2,1,,400.0,200.0,,1,1,,3.0,,1,1,1,1,1,3,1,1,3,1000,2,,2,2,2,2,15033.96,9703.09,9703.09,-1876.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,5020,0,310.87,0,869.32,2,2,1
10596200,315.57492,4,1,2.0,1985,2,1,,,206.67,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,1500,2,,2,2,2,2,58195.29,51315.84,51315.84,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,6879.45,0,0.0,2,2,1
10596300,2526.84304,4,3,1.0,2012,2,2,500.0,,743.88,,1,1,,3.0,,1,1,1,1,1,1,1,1,4,1800,3,,2,1,2,2,18824.93,15825.74,15825.74,15825.74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2999.19,-249,0.0,2,2,1
10596400,187.44898,3,2,3.0,2004,1,2,,600.0,691.67,29.17,1,1,3.0,3.0,,1,1,1,1,1,1,1,1,4,2000,2,,2,2,1,2,57679.64,49495.64,45065.58,45065.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,180,0.0,0.0,0,0,0,8184.0,-51,0.0,2,2,1
10596500,740.55038,4,1,3.0,2003,2,1,,,300.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,1200,2,,2,1,1,2,26332.73,20400.0,20400.0,20400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,3030,5932.73,0,0.0,2,2,1
10596800,199.95057,4,1,4.0,1963,2,1,,500.0,406.67,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,2.0,2,2,2,2,44720.07,39382.84,39072.57,39072.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5337.23,-527,0.0,2,2,1
10596900,555.78807,3,1,2.0,1994,2,1,,100.0,180.0,,1,1,,3.0,,1,1,2,1,1,3,1,1,2,2000,1,,2,2,2,2,17250.79,13110.22,8686.94,8686.94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,3150,4140.57,0,0.0,2,2,1
10597100,100.77633,4,1,4.0,1987,2,1,,600.0,700.0,,1,1,3.0,3.0,,1,1,2,1,1,1,1,1,3,3000,2,,2,2,2,2,91423.03,72495.59,67558.55,67558.55,3000.0,3000.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,18927.44,0,0.0,2,2,1
