PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL050,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10645101,106451,150.66471,55,1,,,10645103.0,,,,,,,2.0,1.0,2.0,,1990.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,31.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,12.0,2.0,1.0,73946.26,56199.16,0.0,0.0,22923.34,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645102,106451,150.66471,27,2,10645101.0,10645103.0,,,,,,,,1.0,3.0,2.0,,2008.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,51.0,20.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,3.0,5.0,1.0,2.0,4589.19,4176.37,0.0,0.0,1421.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645103,106451,150.66471,51,2,,,10645101.0,,,,,,,2.0,1.0,2.0,,1980.0,4.0,2.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,5.0,3.0,52.0,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1
10645201,106452,78.44843,55,1,,,10645202.0,,,,,,,2.0,1.0,2.0,,1994.0,4.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,13.0,1.0,2.0,10306.4,8681.29,0.0,0.0,3193.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645202,106452,78.44843,51,2,,,10645201.0,,,,,,,2.0,1.0,2.0,,1982.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,23.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,13.0,1.0,2.0,9839.17,8364.88,0.0,0.0,2980.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10645203,106452,78.44843,17,2,10645201.0,10645202.0,,,,,,,,1.0,3.0,1.0,3.0,2010.0,2.0,,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8343.0,0.0,2,2,1
10645301,106453,128.2496,55,1,,,10645302.0,,,,,,,2.0,1.0,2.0,,1974.0,4.0,,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,,11.0,1.0,2.0,10208.34,8399.05,0.0,0.0,3163.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,2
10645302,106453,128.2496,53,2,,,10645301.0,,,,,,,2.0,1.0,2.0,,1988.0,4.0,4.0,1.0,1.0,2.0,,2.0,,1.0,2.0,,8.0,3.0,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9403.52,0.0,1,7,2
10645303,106453,128.2496,19,1,10645301.0,10645302.0,,,,,,,,1.0,3.0,1.0,3.0,2008.0,2.0,,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,2
10645401,106454,121.99497,55,1,,,10645402.0,,,,,,,2.0,1.0,2.0,,1988.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,11.0,1.0,2.0,28877.99,22216.27,0.0,0.0,8947.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3555.82,0.0,10,1,1
10645402,106454,121.99497,52,2,,,10645401.0,,,,,,,2.0,1.0,2.0,,1981.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.0,,13.0,1.0,2.0,25017.33,19412.75,0.0,0.0,7700.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.94,466.63,0.0,0.0,10,1,1
10645501,106455,139.97881,55,1,,,10645502.0,,,,,,,2.0,1.0,2.0,,1974.0,4.0,3.0,2.0,3.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,81.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
10645502,106455,139.97881,51,2,,,10645501.0,,,,,,,2.0,1.0,2.0,,1978.0,4.0,3.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,91.0,40.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,,13.0,1.0,2.0,8924.16,7700.39,0.0,0.0,2765.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
10645503,106455,139.97881,30,2,10645501.0,10645502.0,,,,,,,,1.0,3.0,2.0,,2003.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,32.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.0,,12.0,1.0,2.0,9550.61,8164.1,0.0,0.0,2640.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.27,1269.27,0.0,0.0,1,6,1
10645504,106455,139.97881,18,1,10645501.0,10645502.0,,,,,,,,1.0,3.0,1.0,3.0,2009.0,2.0,2.0,2.0,3.0,2.0,,2.0,,2.0,2.0,,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
