PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,PD020,PD030,PD050,PD060,PD070,PD080,AP,SL,M_K
1029490002,10294900,249.83021,33,1,,,,,,,,,,1.0,3.0,2.0,,2003.0,200.0,2.0,2.0,3.0,2.0,,,,,,,4.0,2.0,62.0,20.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,3.0,20.0,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,557.72,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1,7,2
1029500002,10295000,106.02527,44,2,1029500004.0,,1029500003.0,,,,,,,2.0,1.0,2.0,,2002.0,300.0,3.0,2.0,3.0,2.0,,2.0,,,,,3.0,2.0,61.0,40.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,23.0,21.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1999.39,1999.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1,7,2
1029500003,10295000,106.02527,49,1,,,1029500002.0,,,,,,,2.0,1.0,2.0,,1986.0,300.0,2.0,2.0,3.0,2.0,,,,,,,2.0,3.0,44.0,20.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53.0,,15.0,25.0,13.0,1.0,2.0,2373.63,2160.0,0.0,0.0,740.1,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1,7,2
1029500004,10295000,106.02527,80,1,,,,,,,,,,4.0,3.0,2.0,,1948.0,100.0,,1.0,2.0,2.0,,2.0,,1.0,,,7.0,2.0,61.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,35.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2843.0,252.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,1,7,2
1029510001,10295100,916.46753,28,2,,,,,,,,,,3.0,3.0,2.0,,2008.0,450.0,2.0,2.0,3.0,2.0,,,,2.0,2.0,,11.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1,7,2
1029520001,10295200,74.11551,82,2,,,,,,,,,,3.0,3.0,2.0,,1963.0,400.0,3.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,21.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,27.0,40.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,405.37,405.37,0.0,0.0,0.0,4879.38,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029520002,10295200,74.11551,54,1,,,,,,,,,,3.0,3.0,2.0,,1981.0,300.0,2.0,2.0,2.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,71.0,,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,30.0,,2.0,2.0,7332.59,7120.0,0.0,0.0,573.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029520003,10295200,74.11551,41,2,,,,,,,,,,5.0,3.0,2.0,,1997.0,600.0,1.0,2.0,3.0,,,2.0,,,,,1.0,3.0,51.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.0,,18.0,22.0,12.0,1.0,2.0,9443.47,8400.0,0.0,0.0,1713.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029530001,10295300,290.27024,87,2,,,,,,,,,,4.0,3.0,2.0,,1941.0,100.0,4.0,1.0,1.0,2.0,,,,1.0,,,7.0,3.0,61.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,17.0,41.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.92,252.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,3.0,1,7,2
1029540002,10295400,247.66644,78,1,,,1029540003.0,,,,,,,2.0,1.0,2.0,,1961.0,300.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,83.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,22.0,35.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2758.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1,7,2
1029540003,10295400,247.66644,77,2,,,1029540002.0,,,,,,,2.0,1.0,2.0,,1967.0,400.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,32.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,37.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0,1,7,2
1029570001,10295700,279.43647,38,2,,,1029570002.0,,,,,,,2.0,1.0,2.0,,,600.0,2.0,2.0,3.0,2.0,,,,,,,1.0,3.0,11.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,94.0,,22.0,17.0,10.0,1.0,1.0,14642.22,10834.88,0.0,0.0,4565.47,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.62,272.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029570002,10295700,279.43647,46,1,,,1029570001.0,,,,,,,2.0,1.0,2.0,,1995.0,600.0,,2.0,3.0,,,,,,,,1.0,3.0,22.0,30.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,86.0,,23.0,23.0,13.0,1.0,1.0,5263.66,4300.45,0.0,0.0,1538.92,0.0,150.0,142.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029590001,10295900,687.82558,62,1,,,,,,,,,,1.0,3.0,2.0,,1971.0,200.0,4.0,1.0,2.0,2.0,,,,2.0,2.0,,8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.19,0.0,3.0,1.0,1.0,3.0,1.0,3.0,1,7,2
1029610001,10296100,596.18779,79,2,,,,,,,,,,4.0,3.0,2.0,,1950.0,100.0,4.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,61.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,19.0,35.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3732.42,252.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1,7,2
1029620001,10296200,293.74653,82,1,,,1029620002.0,,,,,,,2.0,1.0,2.0,,1946.0,100.0,4.0,1.0,1.0,2.0,,,,1.0,,,7.0,3.0,92.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,17.0,44.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2973.9,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,3.0,1,7,2
1029620002,10296200,293.74653,72,2,,,1029620001.0,,,,,,,2.0,1.0,2.0,,1962.0,200.0,4.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,61.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,18.0,38.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1,7,2
1029660001,10296600,196.33958,79,1,,,1029660002.0,,,,,,,5.0,2.0,2.0,,1963.0,300.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,83.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,16.0,42.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3142.56,696.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,3.0,1,7,2
1029660002,10296600,196.33958,63,2,,,1029660001.0,,,,,,,4.0,2.0,2.0,,1969.0,200.0,4.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,7.0,3.0,91.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,12.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.08,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,3.0,1,7,2
1029670001,10296700,2039.32,20,1,,,,,,,,,,1.0,3.0,1.0,45.0,2016.0,344.0,2.0,2.0,3.0,2.0,,,,,,,1.0,3.0,73.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,19.0,1.0,13.0,1.0,2.0,11896.9,8825.12,0.0,0.0,3834.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.49,592.55,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029680001,10296800,493.67563,51,2,,,,,,,,,,4.0,3.0,2.0,,1985.0,400.0,2.0,2.0,3.0,,,,,,,,3.0,2.0,61.0,40.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,19.0,32.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1,7,2
1029680002,10296800,493.67563,28,1,,1029680001.0,,,,,,,,1.0,3.0,2.0,,2011.0,450.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,71.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,,19.0,9.0,11.0,1.0,2.0,4604.42,4017.55,109.99,109.99,1339.72,0.0,3355.99,3355.99,0.0,0.0,0.0,0.0,0.0,158.73,138.61,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029680003,10296800,493.67563,23,2,,1029680001.0,,,,,,,,1.0,3.0,1.0,60.0,2016.0,450.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,33.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,68.0,,20.0,2.0,14.0,2.0,2.0,1061.18,981.0,0.0,0.0,218.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.1,138.72,117.91,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029690001,10296900,889.82808,27,2,,,,,,,,,,3.0,3.0,2.0,,2009.0,450.0,3.0,2.0,3.0,2.0,,,,1.0,2.0,,10.0,3.0,75.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,2.0,,1.0,2.0,4484.23,4092.0,0.0,0.0,1111.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.75,462.13,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1,7,2
1029690002,10296900,889.82808,8,2,,1029690001.0,,,25.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2
1029690003,10296900,889.82808,4,2,,1029690001.0,,40.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2
1029700001,10297000,176.51545,91,1,,,,,,,,,,4.0,3.0,2.0,,1937.0,100.0,,1.0,1.0,2.0,,2.0,,1.0,,,7.0,3.0,92.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,18.0,42.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6662.7,252.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,1,7,2
1029700002,10297000,176.51545,57,2,1029700001.0,,,,,,,,,1.0,3.0,2.0,,1980.0,400.0,3.0,2.0,3.0,2.0,,2.0,,1.0,2.0,,10.0,3.0,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,,,18.0,19.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,453.99,453.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,3.0,1,7,2
1029710001,10297100,596.18779,78,2,,,,,,,,,,4.0,3.0,2.0,,1951.0,100.0,4.0,1.0,2.0,2.0,,,,2.0,,,7.0,,,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.68,252.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,1,7,2
1029760001,10297600,687.82558,62,1,,,,,,,,,,1.0,3.0,2.0,,1978.0,200.0,3.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,5.0,3.0,83.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,30.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1,7,2
1029780001,10297800,145.99791,52,1,,,1029780002.0,,,,,,,2.0,1.0,2.0,,1985.0,400.0,2.0,2.0,3.0,2.0,,,,,,,1.0,3.0,33.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.0,,21.0,31.0,13.0,1.0,1.0,12280.95,9600.0,1080.0,0.0,3717.17,245.0,745.88,745.88,0.0,0.0,0.0,0.0,0.0,597.24,471.41,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1,7,2
1029780002,10297800,145.99791,47,2,,,1029780001.0,,,,,,,2.0,1.0,2.0,,1988.0,300.0,3.0,1.0,2.0,2.0,,2.0,,,,,4.0,2.0,61.0,20.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,18.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1,7,2
1029780005,10297800,145.99791,14,1,1029780001.0,1029780002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2
1029790001,10297900,302.93021,73,2,,,1029790002.0,,,,,,,2.0,1.0,2.0,,1968.0,600.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,23.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,23.0,35.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,1,7,2
1029790002,10297900,302.93021,71,1,,,1029790001.0,,,,,,,2.0,1.0,2.0,,1968.0,400.0,3.0,1.0,2.0,2.0,,,,1.0,,,7.0,3.0,21.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,41.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2543.28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,1,7,2
1029800001,10298000,1493.50419,23,2,,,,,,,,,,1.0,3.0,1.0,70.0,2017.0,600.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,26.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.0,,22.0,1.0,13.0,1.0,2.0,7755.22,7200.0,0.0,0.0,821.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029810001,10298100,255.43658,75,2,,,,,,,,,,4.0,3.0,2.0,,,200.0,3.0,1.0,2.0,2.0,,,,2.0,,,7.0,,,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5532.72,5532.72,0.0,0.0,0.0,2349.84,237.77,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1,7,2
1029810002,10298100,255.43658,45,1,,,1029810003.0,,,,,,,2.0,1.0,2.0,,1991.0,400.0,2.0,2.0,3.0,,,2.0,,,,,2.0,3.0,96.0,28.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,3.0,20.0,15.0,13.0,2.0,2.0,4395.62,4004.46,0.0,0.0,1355.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,1,7,2
1029810003,10298100,255.43658,46,2,,1029810001.0,1029810002.0,,,,,,,2.0,1.0,2.0,,1991.0,400.0,2.0,2.0,,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,51.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.0,25.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.75,1573.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,1,7,2
1029810004,10298100,255.43658,22,2,1029810002.0,1029810003.0,,,,,,,,1.0,3.0,1.0,60.0,2014.0,344.0,,2.0,,2.0,,2.0,,,,,1.0,3.0,52.0,40.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,,20.0,2.0,15.0,1.0,2.0,4139.34,3511.85,0.0,0.0,1477.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,2
1029810005,10298100,255.43658,21,2,1029810002.0,1029810003.0,,,,,,,,1.0,3.0,2.0,,2017.0,600.0,,2.0,2.0,2.0,,2.0,,,,,1.0,3.0,23.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,85.0,,19.0,1.0,15.0,1.0,2.0,2009.28,1668.82,0.0,0.0,626.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.32,53.2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1,7,2
1029810006,10298100,255.43658,15,2,1029810002.0,1029810003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2
