HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
106451,90.18055,4,1,2.0,1983,2,1,,,439.58,,1,1,,3.0,,1,1,1,1,1,1,1,1,5,3500,3,,2,2,2,2,25007.17,19389.23,19389.23,19389.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,5617.94,0,0.0,3,3,1
106452,46.84054,4,1,2.0,1994,2,1,,250.0,380.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,2300,2,,2,2,2,2,24839.53,21165.0,21165.0,21165.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,75,0,0,3599.53,0,0.0,2,2,1
106454,90.42738,4,1,3.0,1982,2,1,,800.0,650.0,,1,1,,3.0,3.0,1,1,1,1,1,1,1,1,4,3000,3,,2,2,1,2,62156.39,49891.6,40703.4,40703.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,12264.79,0,0.0,10,1,1
106455,103.10407,1,1,4.0,1955,2,1,,50.0,283.33,,1,1,,3.0,,2,1,2,1,1,1,1,1,5,2000,3,,2,1,2,2,19812.07,10879.19,10118.86,10118.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,6000,0,2932.88,0,1445.36,1,6,1
106456,323.29389,1,1,5.0,1955,2,1,,,246.09,,3,3,,3.0,,2,2,2,1,1,3,3,3,2,500,2,,2,2,2,2,5673.91,5442.12,3000.0,3000.0,0.0,0.0,0.0,0.0,1995.0,447.12,0,0,0.0,0.0,0,0.0,0,0,0,0,231.79,0,0.0,3,7,2
106457,70.59079,4,1,4.0,1976,2,1,,200.0,392.83,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,2000,2,,2,2,2,2,52385.59,43711.21,43711.21,43711.21,1267.45,1077.45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,8674.38,-1056,0.0,1,6,1
106458,263.40973,4,1,2.0,2000,2,2,,,600.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,4,3000,3,,2,2,2,2,81994.69,66346.34,55211.1,55211.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,15648.35,-1162,0.0,2,2,1
106460,205.83704,4,1,4.0,1990,2,1,,800.0,800.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3800,1,,2,2,2,2,61512.41,51667.59,51667.59,51667.59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,9844.82,0,0.0,10,1,1
106461,75.73254,1,1,5.0,1983,2,2,,600.0,809.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,,2,1,2,2,86720.62,58048.76,58048.76,58048.76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,123,8000,0,20548.86,0,0.0,6,4,1
106464,44.9274,4,1,3.0,1980,2,1,,,500.0,,1,1,,3.0,,1,1,2,1,1,1,1,1,2,2000,2,,2,2,2,2,34200.65,26514.59,26514.59,26514.59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,7686.06,0,0.0,9,6,1
106466,281.45982,3,1,2.0,1960,2,1,,60.0,134.67,,3,3,,3.0,,1,1,2,3,1,3,1,3,3,1000,2,,2,2,2,2,18113.94,18113.94,18113.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,5,7,2
106467,156.04289,4,1,3.0,1996,2,1,,800.0,650.0,,1,1,,1.0,,1,1,2,1,1,1,1,1,3,3000,2,,2,2,2,2,77602.04,61090.0,60854.67,60854.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,16512.04,-90,0.0,10,1,1
106468,94.05457,4,1,3.0,1968,2,2,,300.0,650.0,,1,1,,3.0,,2,2,2,1,1,1,1,2,3,2000,2,,2,2,2,2,35070.23,32265.92,22429.01,11413.54,0.0,0.0,0.0,0.0,2082.5,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,2804.31,-329,0.0,3,3,1
106470,81.8151,1,1,3.0,1968,2,1,,1.0,200.33,,1,1,,3.0,,2,2,2,1,1,3,1,3,2,1500,1,,2,2,2,2,14562.72,14562.72,10467.72,0.0,0.0,0.0,0.0,0.0,4095.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,609.87,8,7,2
106471,27.058,4,1,4.0,1975,2,1,,100.0,332.17,,1,1,,3.0,,2,1,1,1,1,3,1,1,3,1200,1,,2,2,2,2,22587.24,22587.24,22587.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,6,4,1
