HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10590700,281.47011,4,1,2.0,1980,2,2,,40.0,148.0,,1,1,,3.0,,1,1,1,1,1,3,1,1,3,430,2,,2,2,2,2,7762.12,7762.12,7762.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10590800,501.2576,4,1,3.0,2002,2,1,,100.0,170.0,,1,1,,3.0,,1,1,2,1,1,1,1,1,2,600,1,,2,1,1,2,14934.47,11690.88,11690.88,11690.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20,0,0,3223.59,0,0.0,1,6,1
10591000,63.02088,1,1,5.0,1971,2,1,,150.0,127.5,,1,1,,3.0,,1,1,2,1,1,1,1,1,3,1200,2,,2,2,2,2,13878.94,12110.99,9236.63,6278.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.92,0.92,0,0.0,0.0,0,0,0,1767.95,0,0.0,1,6,1
10591100,1197.55941,1,1,4.0,2012,2,1,,100.0,86.84,,1,1,3.0,3.0,,1,1,1,1,1,1,1,1,3,880,2,,2,1,1,2,22055.72,18366.0,18366.0,18366.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20,0,0,3669.72,-376,0.0,1,6,1
10591200,666.85608,4,1,1.0,2003,2,2,,50.0,66.0,,1,1,,3.0,,1,1,2,1,1,3,3,3,3,350,2,,2,2,2,2,2818.81,2818.81,2818.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10591300,158.04586,4,1,4.0,1978,2,1,,,156.0,,1,1,,3.0,,1,1,2,1,1,1,1,1,3,725,2,,2,2,2,2,14818.57,12766.62,11007.1,6963.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,292.49,248.76000000000002,0,0.0,0.0,7,0,0,2044.95,0,0.0,1,6,1
10591400,246.26184,4,1,3.0,2004,2,1,,,100.0,,1,1,3.0,3.0,,2,2,2,1,1,3,1,3,3,625,2,,2,2,2,2,5205.64,5205.64,3004.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,1,6,1
10591500,412.75908,4,1,3.0,1998,2,2,,50.0,140.0,,1,1,,3.0,,1,1,1,1,1,1,1,1,3,900,2,,2,2,2,2,22830.67,17646.39,17646.39,17646.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,5184.28,-22,0.0,1,6,1
10591600,638.09787,4,1,3.0,2009,2,1,,,150.0,,1,1,,3.0,,2,1,2,1,1,1,1,1,2,1200,2,,2,2,2,2,14377.55,11625.37,11501.98,11501.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2752.18,-173,0.0,1,6,1
10591700,127.58589,4,1,3.0,1980,1,1,,35.0,210.0,,1,1,3.0,3.0,,2,2,2,1,1,1,1,1,2,600,2,,2,2,2,2,9894.34,8541.48,8541.48,5191.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,1352.86,0,0.0,1,6,1
10591800,114.60044,1,2,6.0,2003,2,1,,,155.25,30.0,1,1,3.0,3.0,,1,1,1,1,1,1,1,1,4,1160,3,,2,2,2,2,37916.37,30825.58,30696.57,30696.57,750.98,750.98,0.0,0.0,0.0,0.0,0,0,0.0,0.0,240,0.0,0.0,34,5208,0,1848.79,-97,0.0,1,6,1
10592000,179.6028,4,1,3.0,1989,1,1,,30.0,150.25,,1,1,,3.0,,1,1,1,1,1,1,1,1,1,1200,2,,2,2,1,2,3157.43,3137.43,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20,0,0,0.0,0,0.0,1,6,1
10592200,428.25572,4,1,2.0,1998,2,1,,35.0,140.0,,1,1,,3.0,,1,1,2,1,1,1,1,1,3,1600,2,,2,1,1,1,14367.73,11681.6,11601.6,11601.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,2686.13,-240,0.0,1,6,1
