HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
106451,150.66471,4,1,3.0,1983,2,1,,600.0,433.58,1,1,1,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4000.0,2.0,,2,2,1,2,78735.45,60575.53,60575.53,60575.53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200.0,200.0,0,0,0,0,0,0,18159.92,0.0,0.0,3,3,1
106452,78.44843,4,1,2.0,1994,2,1,,250.0,400.0,1,1,1,3.0,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2600.0,1.0,,2,2,2,2,28488.57,25458.17,17115.17,17115.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,75,0,0,2955.4,-144.0,0.0,2,2,1
106453,128.2496,1,1,4.0,1988,2,1,,100.0,244.83,1,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1700.0,2.0,,2,2,2,2,19876.91,18087.62,8684.1,8684.1,265.05,225.05,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,120,0,0,1669.29,-180.0,7194.07,1,7,2
106454,121.99497,4,1,4.0,1982,2,1,,700.0,500.0,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,2.0,,2,2,2,2,58048.08,45651.47,41498.71,41498.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,12396.61,0.0,0.0,10,1,1
106455,139.97881,1,1,4.0,1955,2,1,,50.0,442.0,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2000.0,2.0,,2,1,1,2,23075.04,20123.76,15523.49,15523.49,0.0,0.0,104.0,104.0,156.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2951.28,0.0,1270.1,1,6,1
106456,534.64012,1,1,5.0,1942,2,1,,,175.33,1,3,3,,3.0,,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1000.0,2.0,,2,2,2,2,3483.55,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,483.55,0.0,0.0,3,7,2
106457,114.38982,4,1,4.0,1976,2,1,,200.0,367.0,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,51771.08,34712.94,31683.87,31683.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17058.14,-270.0,0.0,1,6,1
106458,443.72752,4,1,3.0,2000,2,2,,500.0,600.0,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3000.0,3.0,,2,2,2,2,71978.62,57577.51,51577.51,51577.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,75,0,0,14326.11,-1135.0,0.0,2,2,1
106460,281.21067,4,1,4.0,1990,2,1,,800.0,550.0,1,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2600.0,1.0,,2,2,2,2,42123.63,32977.14,32977.14,32977.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,9146.49,0.0,0.0,10,1,1
106461,102.12751,1,1,6.0,1983,1,2,,400.0,750.0,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,1,1,2,2,90224.04,70094.71,70094.71,70094.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,150,0,0,19979.33,0.0,0.0,6,4,1
106464,74.69249,4,1,3.0,1980,2,1,,200.0,450.0,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,33505.43,25594.45,25594.45,25594.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7910.98,0.0,0.0,9,6,1
106466,485.295,3,1,2.0,1960,2,1,,1.0,134.67,1,3,3,,3.0,,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1500.0,2.0,,2,2,2,2,12585.3,12585.3,12585.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,7,2
106467,225.0925,4,1,4.0,1996,2,2,,600.0,700.0,1,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,1.0,2.0,2,2,2,2,48044.26,37341.25,37341.25,37341.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,10703.01,0.0,0.0,10,1,1
106468,166.20585,4,1,3.0,1968,2,2,,300.0,600.0,1,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5000.0,1.0,,2,2,2,1,28920.71,27855.76,14984.59,5762.86,0.0,0.0,0.0,0.0,3150.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1064.95,-358.0,0.0,3,3,1
106470,146.09293,1,1,4.0,1968,2,2,,1.0,194.0,1,1,1,,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2000.0,1.0,,2,2,2,2,17567.67,17207.66,15457.66,5157.94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,360.01,0.0,919.58,8,7,2
106471,40.90786,4,1,4.0,1975,2,2,,150.0,380.0,1,1,1,,3.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1200.0,1.0,,2,2,2,2,21287.42,21287.42,21287.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,6,4,1
106473,311.11598,1,5,6.0,1986,2,1,,200.0,1299.0,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4000.0,1.0,,2,1,2,2,64944.34,48324.51,44889.58,44889.58,0.0,0.0,52.0,52.0,0.0,0.0,6000,0,0.0,0.0,0,0,0,250,6000,0,10369.83,-1419.0,809.76,10,6,1
106475,162.58956,1,1,6.0,2004,2,1,,500.0,300.33,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3000.0,3.0,,2,2,2,2,50098.03,39356.09,35132.64,35132.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,697.0,697.0,0,0,0,25,2000,0,8716.94,-601.0,0.0,1,7,2
106477,47.58607,3,1,3.0,1985,1,1,,500.0,325.67,1,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,1,2,25310.44,20961.95,19651.51,19651.51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,75,0,0,4273.49,0.0,0.0,3,3,1
106478,157.41016,3,1,3.0,1964,1,1,,1.0,275.67,1,3,3,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4000.0,1.0,,1,2,2,2,28409.65,25471.94,18779.23,18779.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,10,0,0,2927.71,-77.0,0.0,8,6,1
106479,297.94124,2,1,3.0,2009,2,1,,300.0,184.05,1,3,3,,3.0,,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2000.0,1.0,,2,2,2,2,13899.91,11845.86,9753.56,9753.56,0.0,0.0,0.0,0.0,175.7,516.6,0,0,0.0,0.0,0,0,0,0,0,0,2054.05,0.0,0.0,10,1,1
106480,141.08867,1,1,4.0,1987,1,1,,700.0,391.67,1,1,1,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3500.0,2.0,,2,2,2,2,35386.35,33586.14,33482.14,33482.14,0.0,0.0,104.0,104.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1800.21,0.0,0.0,7,7,2
106481,75.96042,3,1,4.0,1990,2,2,,200.0,310.0,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,1.0,,1,1,1,2,29400.71,23022.53,23022.53,23022.53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,6378.18,0.0,0.0,1,6,1
106482,127.85435,4,1,4.0,1972,1,1,,200.0,253.33,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2000.0,1.0,,2,2,2,2,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,2,1
106484,156.32657,1,1,4.0,1988,1,1,,1.0,365.33,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2500.0,2.0,,2,2,2,2,24934.28,20731.88,19889.5,19889.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,25,0,0,4177.4,-167.0,0.0,8,7,2
106485,80.37855,1,1,6.0,2004,2,1,,300.0,425.33,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4000.0,2.0,,2,2,2,2,48345.26,38726.3,38726.3,38726.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,9618.96,-807.0,1806.56,7,6,1
106488,49.82155,1,1,5.0,1988,2,1,,500.0,1000.0,1,1,1,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,51767.51,45680.68,45583.18,45583.18,12000.0,10200.0,97.5,97.5,0.0,0.0,0,0,0.0,0.0,0,0,0,150,0,0,5936.83,-345.0,0.0,3,6,1
106489,241.8321,1,1,3.0,1994,1,1,,,245.83,1,3,3,,3.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3000.0,2.0,,2,1,1,2,52021.95,49858.64,11469.82,11469.82,0.0,0.0,8844.0,8844.0,1890.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2163.31,0.0,214.26,9,7,2
106490,37.17263,4,1,4.0,1991,2,1,,400.0,439.58,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2000.0,1.0,,2,2,2,2,17398.2,16753.49,7180.31,7180.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,644.71,-568.0,0.0,2,2,1
106494,80.27049,4,1,3.0,1984,2,1,,200.0,390.0,1,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1500.0,1.0,,1,2,2,2,40953.42,33000.49,29876.29,29876.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200.0,200.0,0,0,0,25,0,0,7927.93,-270.0,0.0,6,4,1
106495,307.03311,4,1,2.0,1976,2,2,,,320.0,1,1,1,,2.0,,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,800.0,1.0,,1,2,2,2,14854.76,15106.76,15106.76,15106.76,0.0,0.0,0.0,0.0,0.0,0.0,5000,0,9854.76,9854.76,0,0,0,25,0,0,-277.0,-277.0,0.0,3,3,1
106499,390.80894,4,1,4.0,2005,2,1,,500.0,388.67,1,1,1,3.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2000.0,1.0,,2,2,1,2,21973.1,18900.45,18527.35,18527.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3072.65,0.0,0.0,10,1,1
106500,125.01396,4,1,4.0,1996,1,2,,300.0,427.5,1,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1500.0,2.0,,2,1,2,2,41002.3,31276.38,30671.32,30671.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,9725.92,0.0,0.0,8,6,1
106503,81.35228,4,1,4.0,1983,1,2,,150.0,520.0,1,1,1,,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1000.0,1.0,,1,2,1,2,17110.8,17110.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,10,6,1
106505,160.75672,4,1,3.0,1985,2,1,,300.0,500.0,1,1,1,,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,2.0,,2,1,1,1,7200.0,9505.41,2305.41,2305.41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,-2305.41,-2305.41,0.0,2,2,1
106506,311.85532,4,1,2.0,2008,2,1,,,350.0,1,1,1,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2000.0,2.0,,2,2,2,2,26786.38,20839.79,20839.79,20839.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,25,0,2280,5921.59,0.0,0.0,3,3,1
106509,222.12244,1,1,6.0,1982,2,1,,2000.0,556.0,1,1,1,,3.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3000.0,2.0,,2,2,2,2,30495.12,25505.57,24408.61,24408.61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4989.55,-567.0,0.0,2,6,1
