PB030,HB030,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,RB050,AGE,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL050,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY070G,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
40606501,406065,1,,,40606502,,,,,,,146.19006,53,2,1,2,,1976,4,2,2,3,2,,2,,,,,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,,31,,11,1,2,11829.3,9761.66,0,0,3667.08,0,0,0,0,0,0,0,185.12,0,0,0,0,0,9,7,2
40606502,406065,2,,,40606501,,,,,,,146.19006,52,2,1,2,,1977,4,3,2,3,2,,2,,,,,1,3,74,40,6,0,0,0,6,0,0,0,0,0,0,,10,,14,1,2,3826.67,3278.7,0,0,1186.27,0,0,0,0,0,3600,3600,0,0,1109.84,889.25,0,0,9,7,2
40606601,406066,1,,,40606602,,,,,,,59.49961,55,2,1,2,,1972,4,2,2,3,2,,2,,,,,3,4,61,42,0,0,12,0,0,0,0,0,0,0,0,,1,,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2
40606602,406066,2,,40606603,40606601,,,,,,,59.49961,52,2,1,2,,1978,4,2,2,3,2,,2,,,,,3,2,61,48,0,0,12,0,0,0,0,0,0,0,0,,1,,2,,,0,0,0,0,0,0,22132.54,22132.54,4469.23,0,0,0,0,0,0,0,0,0,9,7,2
40606603,406066,2,,,,,,,,,,59.49961,88,4,3,2,,1932,1,,2,3,2,,2,,1,2,,7,3,92,,0,0,5,0,0,7,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8755.8,0,0,0,0,0,9,7,2
40606701,406067,2,,,,,,,,,,280.47348,56,4,3,2,,1972,4,3,2,3,2,,2,,,,,1,3,51,36,12,0,0,0,0,0,0,0,0,0,0,,86,,13,1,2,9238.8,7786.31,0,0,2864.03,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2
40606702,406067,1,,40606701,,,,,,,,280.47348,27,1,3,2,,2009,5,2,2,3,2,,2,,,,,1,3,21,40,12,0,0,0,0,0,0,0,0,0,0,,85,,13,1,2,13992.5,11348.17,0,0,4337.68,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2
40606801,406068,2,,,,,,,,,,176.21573,68,4,3,2,,1965,3,3,2,3,2,,2,,1,2,,7,3,91,,0,0,0,0,0,12,0,0,0,0,0,,,,,1,2,0,0,0,0,0,0,0,0,1282.91,0,0,0,8659.56,0,0,0,0,0,4,7,2
40606901,406069,2,,,,,,,,,,107.7837,54,5,3,2,,1976,4,3,2,3,2,,2,,,,,2,3,91,20,0,12,0,0,0,0,0,0,0,0,0,,84,7,11,1,2,4682.75,4261.3,0,0,1451.65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2
40607101,406071,1,,,,,,,,,,280.63566,59,1,3,2,,1967,3,3,2,3,2,,2,,,,,1,3,81,40,12,0,0,0,0,0,0,0,0,0,0,,35,,11,1,2,9600,8568,0,0,2976,0,596,596,5360.35,0,0,0,0,0,0,0,0,0,10,7,2
