PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10702003,107020,272.15197,45,1,,,10702002.0,,,,,,,2.0,1.0,2.0,,1991.0,5.0,1.0,2.0,3.0,2.0,,2.0,,,,,1.0,3.0,21.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,,13.0,1.0,2.0,46041.32,36000.0,0.0,0.0,12855.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1
10702102,107021,834.81623,27,2,,,,,,,,,,1.0,3.0,2.0,,2010.0,5.0,2.0,2.0,3.0,2.0,,2.0,,,,,3.0,2.0,34.0,40.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,68.0,,1.0,,,293.84,291.58,0.0,0.0,7.77,0.0,25793.71,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1
10702301,107023,53.63073,68,1,,,10702302.0,,,,,,,2.0,1.0,2.0,,1965.0,5.0,,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,21.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13551.0,0.0,0.0,0.0,0.0,0.0,7,6,1
10702302,107023,53.63073,69,2,,,10702301.0,,,,,,,2.0,1.0,2.0,,1973.0,5.0,3.0,2.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,11.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,2460.0,2238.71,0.0,0.0,762.22,0.0,0.0,0.0,0.0,0.0,0.0,9052.73,0.0,0.0,0.0,0.0,0.0,7,6,1
10702303,107023,53.63073,76,2,,,,,,,,,,4.0,3.0,2.0,,1982.0,4.0,,2.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,24.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,1554.6,0.0,0.0,0.0,0.0,7,6,1
10702304,107023,53.63073,77,2,,,,,,,,,,4.0,3.0,2.0,,1944.0,1.0,,1.0,1.0,2.0,,2.0,,1.0,,,7.0,3.0,81.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16160.16,0.0,0.0,0.0,0.0,0.0,7,6,1
10702401,107024,215.47233,67,1,,,10702402.0,,,,,,,2.0,1.0,2.0,,1969.0,5.0,3.0,1.0,3.0,2.0,,2.0,,1.0,,,7.0,3.0,24.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17974.56,0.0,0.0,0.0,0.0,0.0,10,1,1
10702402,107024,215.47233,66,2,,,10702401.0,,,,,,,2.0,1.0,2.0,,1969.0,6.0,3.0,1.0,3.0,2.0,,2.0,,1.0,,,7.0,3.0,24.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17337.6,0.0,0.0,0.0,0.0,0.0,10,1,1
10702501,107025,46.07916,64,1,,,10702502.0,,,,,,,2.0,1.0,2.0,,1965.0,3.0,,1.0,1.0,2.0,,2.0,,1.0,,,7.0,3.0,75.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6088.08,0.0,0.0,0.0,0.0,0.0,2,2,1
10702502,107025,46.07916,62,2,,,10702501.0,,,,,,,2.0,1.0,2.0,,1967.0,3.0,4.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,52.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7053.6,0.0,0.0,0.0,0.0,0.0,2,2,1
