HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10590700,153.49402,4,1,2.0,1980,2,2,,100.0,150.0,,1,1,,3.0,,2,2,2,3,3,1,2,500.0,1,,2,2,2,2,8394.92,8379.92,8379.92,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,15.0,0,0,0.0,0,0.0,1,6,1
10590800,226.48259,4,1,3.0,2002,2,1,,100.0,171.0,,1,1,,3.0,,1,1,2,3,1,1,3,1000.0,2,,2,2,2,2,19644.01,14728.21,14728.21,14728.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,4915.8,0,0.0,1,6,1
10591000,35.86606,1,1,5.0,1971,2,1,,250.0,100.0,,1,1,3.0,3.0,3.0,1,1,1,1,1,1,4,2000.0,3,,2,2,2,2,24290.85,20292.18,17065.25,13899.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,16.0,0,0,3982.67,0,0.0,1,6,1
10591100,492.22066,1,2,4.0,2012,2,1,,300.0,267.90999999999997,200.0,1,1,3.0,3.0,3.0,1,1,1,3,1,1,3,1000.0,2,,2,1,2,2,22301.7,18043.95,17761.74,17761.74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2100,0,0,51.0,0,0,4206.75,-112,0.0,1,6,1
10591200,401.02807,4,1,1.0,2003,2,1,,,83.0,,1,1,,3.0,,2,1,1,2,2,2,4,1000.0,2,,2,2,2,2,3006.47,3006.47,3006.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,1,6,1
10591300,89.90098,4,1,4.0,1978,2,2,,70.0,215.83,,1,1,,3.0,,1,1,2,1,1,1,3,1000.0,2,,2,2,2,2,18203.02,15577.31,14543.93,7435.82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,252.48000000000002,214.48000000000002,0,0,0,58.0,0,0,2567.71,0,0.0,1,6,1
10591400,144.17424,4,1,3.0,2004,2,1,,70.0,120.0,,1,1,,3.0,,2,1,2,1,3,3,3,900.0,2,,1,2,2,2,5539.28,5539.28,3231.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,1,6,1
10591500,280.03644,4,1,2.0,1998,2,2,,150.0,208.33,,1,1,,3.0,3.0,1,1,1,1,1,1,5,2000.0,3,,2,2,2,2,25543.94,18784.77,18784.77,16879.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,2250,0,4509.17,-193,0.0,1,6,1
10591600,408.12434,4,1,3.0,2009,2,2,,90.0,180.0,,1,1,,3.0,,1,1,2,1,1,1,3,1200.0,2,,1,2,2,2,18155.54,12828.5,12828.5,12828.5,0.0,0.0,0.0,0.0,0.0,0.0,1800,0,0.0,0.0,0,0,0,15.0,1800,0,3512.04,-121,0.0,1,6,1
10591700,58.2834,2,1,3.0,1980,2,1,,90.0,275.83,,1,1,,3.0,,2,1,2,1,1,1,3,1500.0,2,,2,2,2,2,11618.75,9980.02,9413.26,5203.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,3.0,0,0,1635.73,-51,0.0,1,6,1
